fsa,province,city,urban_rural,region_band,shipping_zone_code,active,notes
A0A,NL,Long Pond,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=96
A0B,NL,Come By Chance,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=59
A0C,NL,Bonavista,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=42
A0E,NL,Hillview,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=68
A0G,NL,Lewisporte,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=86
A0H,NL,Bishops Falls,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=31
A0J,NL,Little Bay Islands,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=20
A0K,NL,Seal Cove Wb,rural,central,NL_CENTRAL_RURAL,true,source=postal-codes-canada.csv;records=102
A0L,NL,Coxs Cove,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=9
A0M,NL,Channel-port-aux-basques,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=15
A0N,NL,Port Au Port,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=25
A0P,NL,Happy Valley-goose Bay,rural,central,NL_CENTRAL_RURAL,true,source=postal-codes-canada.csv;records=13
A0R,NL,Wabush,rural,central,NL_CENTRAL_RURAL,true,source=postal-codes-canada.csv;records=3
A0T,NL,Beaumont,rural,south,NL_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=1
A1A,NL,St. Johns,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=76
A1B,NL,St. Johns,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=105
A1C,NL,St. Johns,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=56
A1E,NL,St. Johns,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=71
A1G,NL,St. Johns,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=8
A1K,NL,Torbay,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=23
A1L,NL,Paradise,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=30
A1N,NL,Mount Pearl,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=49
A1S,NL,Goulds,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
A1V,NL,Gander,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=39
A1W,NL,Long Pond,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=10
A1X,NL,Long Pond,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=2
A1Y,NL,Carbonear,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=23
A2A,NL,Grand Falls-windsor,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=20
A2B,NL,Grand Falls-windsor,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=3
A2H,NL,Corner Brook,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=130
A2N,NL,Stephenville,urban,south,NL_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=40
A2V,NL,Labrador City,urban,central,NL_CENTRAL_URBAN,true,source=postal-codes-canada.csv;records=26
B0A,NS,Glace Bay,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=26
B0C,NS,Newcastle,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=19
B0E,NS,Mabou,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=67
B0H,NS,Larrys River,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=33
B0J,NS,Brooklyn,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=96
B0K,NS,Stellarton,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=42
B0L,NS,Nappan,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=10
B0M,NS,Oxford,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=38
B0N,NS,Windsor,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=92
B0P,NS,Centreville,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=49
B0R,NS,La Have,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=11
B0S,NS,Lawrencetown.,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=45
B0T,NS,Greenfield.,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=36
B0V,NS,Digby,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=16
B0W,NS,Arcadia,rural,south,NS_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=85
B1A,NS,Glace Bay,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=38
B1H,NS,New Waterford,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=19
B1L,NS,Sydney,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=18
B1M,NS,Sydney,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=3
B1P,NS,Sydney,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=59
B1R,NS,Sydney,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=9
B1S,NS,Sydney,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=27
B1V,NS,Sydney Mines,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=33
B2A,NS,North Sydney,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=21
B2G,NS,Antigonish,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=28
B2H,NS,New Glasgow,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=69
B2N,NS,Truro,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=65
B2T,NS,Fall River,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=53
B2V,NS,Dartmouth,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=25
B2W,NS,Dartmouth,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=50
B2X,NS,Dartmouth,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=13
B2Y,NS,Dartmouth,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=72
B2Z,NS,Mineville,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=7
B3A,NS,Dartmouth,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=52
B3B,NS,Dartmouth,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=61
B3E,NS,Porters Lake,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=18
B3G,NS,Eastern Passage,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=2
B3H,NS,Halifax,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=112
B3J,NS,Halifax,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=113
B3K,NS,Halifax,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=58
B3L,NS,Halifax,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=74
B3M,NS,Halifax,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=64
B3N,NS,Halifax,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=28
B3P,NS,Halifax,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=21
B3R,NS,Halifax,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=24
B3S,NS,Halifax,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=20
B3T,NS,Timberlea,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=38
B3V,NS,Williamswood,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=31
B3Z,NS,Upper Tantallon,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=10
B4A,NS,Bedford,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=34
B4B,NS,Bedford,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=3
B4C,NS,Lower Sackville,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=29
B4E,NS,Lower Sackville,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=24
B4G,NS,Beaver Bank,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=5
B4H,NS,Amherst,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=39
B4N,NS,Kentville,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=49
B4R,NS,Coldbrook,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=11
B4V,NS,Bridgewater,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=46
B5A,NS,Yarmouth,urban,south,NS_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=37
C0A,PE,Cornwall,rural,south,PE_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=61
C0B,PE,Kensington,rural,south,PE_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=42
C0W,QC,Metabetchouan,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=1
C1A,PE,Charlottetown,urban,south,PE_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=129
C1B,PE,Stratford,urban,south,PE_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=6
C1C,PE,Charlottetown,urban,south,PE_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=13
C1E,PE,Charlottetown,urban,south,PE_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=20
C1N,PE,Summerside,urban,south,PE_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=51
D0A,NB,Salisbury,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=4
E0A,NB,Shediac,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=100
E0B,NB,Petit Rocher,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=57
E0C,NB,Newcastle,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=42
E0E,NB,Sussex,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=27
E0G,NB,Saint Stephen,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=91
E0H,NB,Meductic,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=25
E0J,NB,Florenceville,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=50
E0K,NB,Campbellton,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=18
E0L,NB,Edmundston,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=16
E0Y,NB,Port Elgin,rural,south,NB_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=1
E1A,NB,Dieppe,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=150
E1B,NB,Riverview,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=39
E1C,NB,Moncton,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=200
E1E,NB,Moncton,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=45
E1G,NB,Moncton,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=12
E1N,NB,Miramichi,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=32
E1V,NB,Miramichi,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=40
E1W,NB,Caraquet,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=26
E1X,NB,Tracadie-sheila,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=42
E2A,NB,Bathurst,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=82
E2E,NB,Quispamsis,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=50
E2G,NB,Quispamsis,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=2
E2H,NB,Saint John,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=6
E2J,NB,Saint John,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=105
E2K,NB,Saint John,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=95
E2L,NB,Saint John,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=96
E2M,NB,Saint John,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=78
E2N,NB,Saint John,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=3
E2P,NB,Saint John,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
E2V,NB,Oromocto,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=41
E3A,NB,Fredericton,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=119
E3B,NB,Fredericton,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=151
E3C,NB,Fredericton,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=32
E3E,NB,Upper Kingsclear,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=9
E3L,NB,St Stephen,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=63
E3N,NB,Campbellton,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=58
E3V,NB,Edmundston,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=72
E3Y,NB,Grand Falls,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=29
E3Z,NB,Grand Falls,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=12
E4L,NB,Sackville,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=38
E5H,NB,Blacks Harbour,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=17
E5N,NB,Kingston,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
E5S,NB,Summerville,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
E6C,NB,Nashwaak Bridge,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=4
E7A,NB,Baker Brook,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=36
E7B,NB,Saint-jacques,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
E7C,NB,Saint-basile,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=16
E7E,NB,Saint-leonard,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=35
E7M,NB,Woodstock,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=34
E7N,NB,Debec,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
E8A,NB,Saint-quentin,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=19
E8B,NB,Kedgwick,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=13
E9E,NB,Red Bank,urban,south,NB_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
G0A,QC,Donnacona,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=98
G0B,QC,Cap Aux Meules,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=16
G0C,QC,Newport,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=68
G0E,QC,Cap Des Rosiers,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=26
G0G,QC,Harrington Harbour,rural,central,QC_CENTRAL_RURAL,true,source=postal-codes-canada.csv;records=36
G0H,QC,Ragueneau,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=12
G0J,QC,Saint-leon-le-grand,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=55
G0K,QC,Saint-marcellin,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=20
G0L,QC,Mont-carmel,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=109
G0M,QC,Lambton,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=33
G0N,QC,Thetford Mines,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=27
G0P,QC,Chesterville,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=11
G0R,QC,Lac-etchemin,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=91
G0S,QC,Saint-joseph-de-beauce,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=72
G0T,QC,Sacre-coeur-saguenay,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=30
G0V,QC,Chicoutimi,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=29
G0W,QC,Chambord,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=61
G0X,QC,Sainte-genevieve-de-batiscan,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=90
G0Y,QC,Beaulac-garthby,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=24
G0Z,QC,Saint-samuel,rural,south,QC_SOUTH_RURAL,true,source=postal-codes-canada.csv;records=13
G1A,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
G1B,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=16
G1C,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=45
G1E,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=89
G1G,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=30
G1H,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=71
G1J,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=57
G1K,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=92
G1L,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=80
G1M,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=68
G1N,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=26
G1P,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=55
G1R,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=209
G1S,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=102
G1T,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=7
G1V,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=78
G1W,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=46
G1X,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=66
G1Y,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=18
G2A,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=10
G2B,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=51
G2C,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=2
G2E,QC,Lancienne-lorette,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=36
G2G,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=7
G2J,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=11
G2K,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=19
G2L,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=3
G2M,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=14
G2N,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=27
G3A,QC,Saint-augustin-de-desmaures,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=23
G3E,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=17
G3G,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=2
G3J,QC,Quebec,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=5
G3K,QC,Loretteville,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=16
G4A,QC,Clermont,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=18
G4R,QC,Sept-iles,urban,central,QC_CENTRAL_URBAN,true,source=postal-codes-canada.csv;records=54
G4W,QC,Matane,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=43
G4Z,QC,Baie-comeau,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=40
G5A,QC,La Malbaie,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=18
G5B,QC,Port-cartier,urban,central,QC_CENTRAL_URBAN,true,source=postal-codes-canada.csv;records=20
G5C,QC,Baie-comeau,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=40
G5H,QC,Mont-joli,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=18
G5L,QC,Rimouski,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=125
G5M,QC,Rimouski,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=2
G5R,QC,Riviere-du-loup,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=127
G5T,QC,Degelis,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=18
G5V,QC,Montmagny,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=22
G5Y,QC,Saint-georges,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=63
G5Z,QC,Saint-georges,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=2
G6A,QC,Saint-georges,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=1
G6B,QC,Lac-megantic,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=21
G6C,QC,Pintendre,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=6
G6E,QC,Sainte-marie,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=39
G6G,QC,Thetford Mines,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=62
G6H,QC,Thetford Mines,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=22
G6J,QC,Saint-etienne-de-lauzon,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=2
G6K,QC,Saint-redempteur,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=17
G6L,QC,Plessisville,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=40
G6P,QC,Victoriaville,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=82
G6S,QC,Victoriaville,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=3
G6T,QC,Victoriaville,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=3
G6V,QC,Levis,urban,south,QC_SOUTH_URBAN,true,source=postal-codes-canada.csv;records=79
